00ZPK,5r2/R2R1pk1/P7/5pp1/8/1KP5/5r2/8 b - - 0 44,g5g4 d7f7 f8f7 a7f7 g7f7 a6a7,769,85,https://lichess.org/Y6yYxIcG/black#88
00gNl,6k1/5R2/pp4p1/2p4p/7P/1P1r4/P3r1PK/5R2 b - - 0 38,d3d2 f7f8 g8h7 f1f7 h7h6 f8h8,788,76,https://lichess.org/JhG6365X/black#76
01lB9,1qkr3r/pp1b2p1/5p2/3Pn2p/2Pp1B2/P2B2P1/1Q3P1P/1R3RK1 w - - 2 21,b2d4 e5f3 g1g2 f3d4 f4b8 c8b8,783,76,https://lichess.org/DAhE0yC8#41
07ATC,1k3rn1/ppp2qb1/4p1p1/3nP1B1/3PN1p1/P5N1/1PPQ2P1/2KR4 w - - 8 24,d1f1 f7f1 g3f1 f8f1 d2d1 f1d1,742,82,https://lichess.org/LjhFlk7h#47
07Vmc,8/1p6/8/8/pk1K1P2/8/6P1/8 w - - 0 46,f4f5 a4a3 d4d5 a3a2 f5f6 a2a1q,764,84,https://lichess.org/yvDKkZHC#91
07ckQ,6k1/p3rp2/1p1p2b1/3P1qQ1/PP1B2p1/8/5PPK/2R5 b - - 1 32,f5g5 c1c8 e7e8 c8e8 g8h7 e8h8,728,88,https://lichess.org/iLeeyZKb/black#64
083Fr,r4rk1/p4q2/6pQ/1p6/3P1B2/2P5/PP3PPP/R5K1 w - - 1 30,f4e5 f7f2 g1h1 f2f1 a1f1 f8f1,782,118,https://lichess.org/ydNbxscS#59
09xR1,8/8/p5K1/6P1/P1p5/3k4/8/8 w - - 0 57,g6f7 c4c3 g5g6 c3c2 g6g7 c2c1q,753,83,https://lichess.org/wKiKXiTI#113
0Bm5H,6k1/5ppp/4p3/2Nn4/2q5/5P2/1PQB2PP/r2N3K w - - 1 30,c2c4 a1d1 d2e1 d1e1 c4f1 e1f1,799,87,https://lichess.org/4eOYxuCK#59
0C63j,2r5/R4p1p/3RpB2/1p6/8/4PN2/5PPP/1k4K1 w - - 3 36,d6d2 c8c1 d2d1 c1d1 f3e1 d1e1,727,97,https://lichess.org/xIfr0dT1#71
0CBCd,8/5pkp/b3qpp1/8/1Q1P4/1p2P3/1P2BPPP/5K2 w - - 6 26,e2a6 e6a6 f1e1 a6a1 e1e2 a1b2,757,83,https://lichess.org/Jjeo9Gwy#51
0Dzup,8/8/3R2kp/6p1/5n2/1r5P/6PK/8 b - - 7 44,g6h5 g2g4 h5h4 d6h6 f4h5 h6h5,771,77,https://lichess.org/Ozf7N5C4/black#88
0IMfq,8/6k1/2p5/1pPp1KpP/pP2p3/P3P3/6P1/8 w - - 0 35,f5g5 d5d4 e3d4 e4e3 g5f4 e3e2,706,93,https://lichess.org/Lgj1M4C3#69
0NckB,r3r1k1/1pp2ppp/1p6/2P1n1q1/3pN3/P2P1B1b/5PPP/R2Q1RK1 b - - 6 20,e5f3 d1f3 g5g2 f3g2 h3g2 g1g2,734,82,https://lichess.org/f90qLpcV/black#40
0O79j,8/8/6P1/4k2r/4p3/1R3p2/8/4K3 b - - 0 51,h5g5 b3b5 e5f4 b5g5 f4g5 g6g7,705,81,https://lichess.org/X2oGHk48/black#102
0OD2b,3r2k1/p4pp1/1pn4p/8/3b4/8/PP3PPP/3RR1K1 b - - 3 20,d4b2 d1d8 c6d8 e1e8 g8h7 e8d8,747,81,https://lichess.org/t6euG0bU/black#40
0ONLe,1r5k/1B4bp/3R2p1/3Q1bq1/4pp2/6P1/P4P2/3R2K1 b - - 2 31,f4g3 d6d8 b8d8 d5d8 g5d8 d1d8,744,76,https://lichess.org/qNyY2Dha/black#62
0R6fs,2rqr1k1/6p1/ppR1p2p/3pPp2/1P1P4/P7/2Q3PP/2R3K1 b - - 5 23,a6a5 c6c8 d8c8 c2c8 e8c8 c1c8,735,81,https://lichess.org/fH9elOq9/black#46
