003eP,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1096,78,https://lichess.org/n9vCFmKh/black#72
003jH,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1098,78,https://lichess.org/3CQGofXT#49
00Aae,1R6/1P6/4pkp1/5p2/3P3p/3KP3/8/1r6 b - - 0 43,h4h3 b8f8 f6e7 b7b8q b1b8 f8b8,1019,78,https://lichess.org/mLIjph1r/black#86
00HZa,6k1/6pp/1p6/p1n5/4qp2/1P2PN2/P4PPP/3Q2K1 b - - 0 28,f4e3 d1d8 g8f7 f3g5 f7g6 g5e4,1017,75,https://lichess.org/WRMbDs53/black#56
00Nej,6k1/1p3pp1/pB2qb1p/2P5/1P6/6QP/4r1P1/3R3K b - - 4 33,f6e5 d1d8 g8h7 g3d3 e6g6 d3e2,1040,81,https://lichess.org/P5XLEtLV/black#66
00d5g,2b2rk1/pp4p1/2p5/4r3/2B5/1P6/P4pK1/5R2 b - - 4 32,g8h8 f1h1 c8h3 h1h3 e5h5 h3h5,1040,84,https://lichess.org/Vf4zaDk5/black#64
00f99,6k1/p4p2/1p5R/3r2p1/1P2b1P1/P3B2P/5P2/6K1 w - - 1 35,h6h5 d5d1 g1h2 d1h1 h2g3 h1g1,1094,80,https://lichess.org/2eLSy15i#69
00pSv,5k2/5p1p/6p1/1p2q3/2p1p1n1/1P2P3/P1R1QPPP/6K1 w - - 0 26,e2g4 e5a1 c2c1 a1c1 g4d1 c1d1,1010,92,https://lichess.org/AE7pbh2M#51
00xmm,r6r/ppk3pp/2pN4/4P3/1b6/6PQ/PP3PKP/R1Bq4 b - - 2 24,b4d6 e5d6 d1d6 c1f4 d6f4 g3f4,1039,80,https://lichess.org/Pci9z8kp/black#48
00yPS,5k2/p3pp2/7p/2Qp1P2/6B1/6q1/2K5/8 b - - 2 43,g3g4 c5c8 f8g7 f5f6 g7f6 c8g4,1048,79,https://lichess.org/pyTEOQI7/black#86
01YhI,8/pp5p/n5pk/3bR3/P6r/8/1PP5/1K1R4 w - - 0 30,d1d5 h4h1 b1a2 a6b4 a2b3 b4d5,1010,74,https://lichess.org/kWzOKauE#59
01m8C,r4rk1/ppQ2pp1/3p2q1/1P1B4/3P4/P3n1P1/7P/R4RK1 w - - 0 24,d5f7 f8f7 c7f7 g6f7 f1f7 g8f7,1029,106,https://lichess.org/PGYgO9Rf#47
01raT,6k1/5r2/4K1p1/3R2P1/8/8/8/8 b - - 9 69,g8g7 d5d7 f7d7 e6d7 g7f7 d7d6,1006,107,https://lichess.org/s7qT56Ht/black#138
01vCu,rn2r1k1/ppp2ppp/3p4/8/3qP3/4BQP1/P1P4P/R4RK1 b - - 3 17,d4e5 f3f7 g8h8 f7f8 e8f8 f1f8,1045,75,https://lichess.org/sEAi1dbu/black#34
