00SWh,rn5Q/ppk1np2/3B4/6N1/6b1/8/PPP1q3/2KR4 b - - 0 18,c7b6 h8d4 b6c6 d4c3 c6d7 d1e1,2768,110,https://lichess.org/SIKtKv2M/black#36
00bGq,1k3r2/ppp2r1p/1b1pQP1p/8/3P3P/2P3R1/Pq4P1/5R1K b - - 0 22,b2b5 e6f7 b5f1 h1h2 f8c8 f7e6,2756,116,https://lichess.org/GVwrEInE/black#44
01VHY,2k5/p1p5/P7/1PP1rp2/7p/6pP/6P1/2R3K1 b - - 3 39,f5f4 b5b6 c8b8 b6b7 e5e6 c1a1,2773,106,https://lichess.org/irrUnPjb/black#78
01WXF,r1b2rk1/p4qbp/1p3pp1/2R5/2pBPP2/1P3Q1P/P1B3P1/5RK1 w - - 0 23,c5c6 f7d7 c6c4 b6b5 d4c5 b5c4,2741,91,https://lichess.org/phuJnNqg#45
01ZrS,3R4/1br1npp1/1p2p1k1/p3P1pN/P1B3P1/1P5P/5P2/6K1 b - - 2 31,e7c6 c4d3 f7f5 e5f6 g6f7 d8h8,2752,94,https://lichess.org/jv7NukFp/black#62
01dm7,r2k3r/1bpp1Qpn/p1n4p/1pb1P3/3N3q/1B5P/PPP2PP1/RNB1R1K1 w - - 1 14,e5e6 c6e7 f7f4 h4f4 c1f4 c5d4,2718,96,https://lichess.org/x7l8hJvH#27
025Om,8/3r2kp/6p1/P7/4P3/R2n1R1P/3r1PP1/5K2 w - - 1 38,a5a6 d2d1 f1e2 d3c1 e2e3 g6g5,2731,84,https://lichess.org/jpcpDSdw#75
02J4S,r4r2/pp1q1p1k/2p1n2B/4Pp2/2Pb3Q/P7/6PP/3R3K b - - 1 26,h7g6 h6f8 e6f8 d1d4 d7d4 h4d4,2771,89,https://lichess.org/2GjU6yGW/black#52
02ti8,8/2r2pkp/p4Qp1/1q6/1P6/7P/2r3P1/4RR1K b - - 9 34,g7h6 f1f4 c2c4 e1e5 b5e5 f6e5,2732,93,https://lichess.org/L7u9w6T1/black#68
02xBY,6k1/5p2/8/N1pq4/4p1b1/1P2P2p/P1Q2PP1/6K1 w - - 0 36,a5c4 h3g2 g1g2 g4d1 c2d1 d5d1,2734,95,https://lichess.org/5qEEDatc#71
03cYQ,6rk/2p2q2/1p4rp/2PR1b1p/P6Q/1P2p1PP/5P1N/3R2K1 w - - 0 36,h2f3 f5g4 h3g4 f7f3 d5h5 f3d1,2773,100,https://lichess.org/qotgwkFR#71
03wZN,5rk1/1qp4p/4N2R/5pp1/3P4/3QP3/1r2bPPP/5RK1 w - - 2 24,d3c3 b2b1 f1c1 b7b4 e6f8 b4c3,2738,91,https://lichess.org/Xpxp5w2d#47
04RAU,rn1qkbnr/pbp4p/1p2pp2/3pN1B1/3P4/8/PPP2PPP/RN1QKB1R b KQkq - 1 7,f6g5 d1h5 e8e7 h5f7 e7d6 b1a3,2735,98,https://lichess.org/TKHdzwmH/black#14
04cTc,2N4b/8/1p4pp/1Pp2p2/Pk3P2/1P2Pn1P/2K5/8 b - - 2 39,b4a5 c8e7 f3e1 c2d1 a5b4 e7d5,2713,109,https://lichess.org/wY7sLjya/black#78
04cwe,r1bqk2r/pppp1ppp/2n5/4p3/2BP4/2b1RN2/P4PPP/R1BQ2K1 b kq - 1 10,c3a1 f3e5 e8g8 e5f7 d8f6 e3f3,2712,93,https://lichess.org/btK7vrq0/black#20
04ixu,8/8/5kp1/3K1p1p/4p2P/4P1P1/5P2/8 b - - 0 38,g6g5 h4g5 f6g5 d5e5 g5g4 e5e6,2775,104,https://lichess.org/TXk1TSxQ/black#76
04kdZ,r2q1rk1/4p1b1/p2p1n1p/1ppb2P1/6P1/1B1P4/PPP4N/R1BQ1RK1 b - - 0 17,h6g5 f1f6 g7f6 b3d5 e7e6 d5e6,2765,96,https://lichess.org/FroOipnY/black#34
04lSm,r1b1k2r/pp3p2/4pp1p/4n3/8/2Q2N2/1PPK1PPP/q2R1B1R b kq - 3 15,e5f3 d2e3 a1d1 f1b5 d1d7 b5d7,2739,87,https://lichess.org/nrhsesYr/black#30
052Wm,2r1k3/pp3p2/1b1pp1p1/1N6/4P1pq/8/PP2QP2/3R1RK1 w - - 0 20,b5d6 e8f8 e2d3 c8c2 d3c2 h4g3,2729,99,https://lichess.org/PP1Pueix#39
056gr,1r1q1r2/1p1b2kp/pN1Q2p1/5p2/2B5/8/P4PPP/4R1K1 b - - 0 24,d7e8 b6d7 d8d7 e1e7 g7h6 e7d7,2705,102,https://lichess.org/Cfj9zxzm/black#48
05Jwg,r3k1r1/2p2p2/p3pP2/1pq5/2p1P3/2N4p/PQP2RPP/1R4K1 w q - 1 26,g1f1 g8g2 f2g2 h3g2 f1g2 e8c8,2703,108,https://lichess.org/lB0gzIcX#51
05K8U,r2k4/pp5q/8/2P3p1/1P4b1/2PK2Q1/P1B1r2P/R1B4R w - - 9 29,d3c4 g4e6 c4d4 h7c2 g3d3 d8e8,2783,96,https://lichess.org/5fWU9DML#57
06IzH,8/7p/4k1p1/8/3KPp2/8/6PP/8 b - - 0 36,h7h5 e4e5 h5h4 h2h3 e6d7 d4e4,2707,89,https://lichess.org/BnNVM2Dz/black#72
06Ohv,r1B4r/p1q1n2p/1P3Q1B/4p3/kP1ppp2/3P4/6PP/5RK1 b - - 0 28,c7c8 f1a1 a4b3 f6f7 b3c3 b6b7,2701,91,https://lichess.org/k2xeWGKX/black#56
06oZg,1rb2rk1/6bp/1qppp1p1/2n3P1/p3PP2/1PN2B2/P1PB3Q/2KR3R b - - 1 19,a4b3 h2h7 g8f7 c3b5 b6b5 d2c3,2796,109,https://lichess.org/IzMiUt9P/black#38
07fBO,3qnrk1/3n2bp/B2p2p1/3Pp3/P3p1b1/B1R2N2/5PPP/3Q1RK1 w - - 0 18,h2h3 e4f3 h3g4 e5e4 c3f3 e4f3,2731,89,https://lichess.org/TzA3jglz#35
07x5U,7k/R4K2/p4P2/8/1p6/4r3/8/8 b - - 0 48,h8h7 f7f8 h7h6 f6f7 h6h7 a7e7,2780,94,https://lichess.org/ND1RYOlf/black#96
08flf,1r1r2k1/p5pp/Q2Rp3/4p3/1P6/P3P2P/2q1KPP1/6NR w - - 3 26,e2f3 d8f8 f3g3 c2g6 g3h2 f8f2,2755,91,https://lichess.org/ITp2VivX#51
08nB2,4r3/5k1p/1nq1p1p1/4QpP1/2PP1P2/p2K3P/PNP5/4R3 w - - 0 33,c4c5 a3b2 c5b6 e8c8 e5c7 c8c7,2750,116,https://lichess.org/gPWo497a#65
08vPp,8/3R4/4rPk1/2K3P1/4bP2/8/8/8 b - - 14 55,e6e8 d7g7 g6f5 f6f7 e8f8 c5d6,2716,106,https://lichess.org/x1YlqcJh/black#110
