0gTFt,1Q6/6pk/5q2/2B2p1p/8/5B2/5PPP/6K1 w - - 1 36,b8b4 f6a1 f3d1 a1d1 b4e1 d1e1,470,86,https://lichess.org/Hz45y8D8#71
5LiCS,4k2r/p3p2p/3pQ1pB/3Pb3/r2p4/8/6P1/5R1K w k - 0 28,f1f7 a4a1 h6c1 a1c1 f7f1 c1f1,500,89,https://lichess.org/3aJdjQmg#55
AbNl1,8/pp6/6N1/4p1r1/8/2Pk4/PP2RR2/2K5 w - - 5 37,g6h4 g5g1 f2f1 g1f1 e2e1 f1e1,485,91,https://lichess.org/e5rMpgCn#73
DHDl9,8/8/1K6/1P6/6p1/5k2/8/8 w - - 0 49,b6a7 g4g3 b5b6 g3g2 a7a6 g2g1q,495,88,https://lichess.org/tWR9qGPc#97
HpjKH,8/6rk/5p2/8/4p2P/8/PPPR3P/1K2R3 w - - 0 33,e1e4 g7g1 e4e1 g1e1 d2d1 e1d1,480,83,https://lichess.org/GNegmqGO#65
QiAWz,4r1k1/p1R2p1p/2n4B/2p4p/8/3P4/b2K1bPP/8 b - - 1 26,e8e6 c7c8 c6d8 c8d8 e6e8 d8e8,482,84,https://lichess.org/m6HoP02S/black#52
S09dR,R7/5kpp/2P5/1r6/2r5/5B2/5PPP/2R3K1 w - - 4 30,c1c4 b5b1 c4c1 b1c1 f3d1 c1d1,413,90,https://lichess.org/tk0chkJ3#59
T7933,2r3k1/4q3/p1rp1p2/Pp4p1/1P1QP2p/1b3P2/3R1BPP/3R2K1 w - - 4 33,d1b1 c6c1 b1c1 c8c1 f2e1 c1e1,464,91,https://lichess.org/r6Y9ZQiU#65
UPlpj,1k1r4/7p/2Q5/1Bp5/7P/6p1/1PP3P1/4R2K w - - 3 39,e1e7 d8d1 e7e1 d1e1 b5f1 e1f1,461,95,https://lichess.org/D2de0nHl#77
UlOS0,2b5/5p1k/p3p1qp/1p2P1p1/3PN3/4QB2/P4PPP/6K1 w - - 4 38,e4d6 g6b1 f3d1 b1d1 e3e1 d1e1,491,86,https://lichess.org/OKkAyVZU#75
Wo2tM,4r2k/pp3pbp/6p1/8/4NP2/7P/PP1Q2PK/5q2 b - - 1 26,e8e4 d2d8 e4e8 d8e8 g7f8 e8f8,489,85,https://lichess.org/F2iFZynn/black#52
XNmwm,7r/8/4k3/5R2/P3P1N1/1p1P4/1P6/1K1N4 w - - 5 49,d1c3 h8h1 f5f1 h1f1 c3d1 f1d1,456,86,https://lichess.org/8j2p09Tg#97
Yh4NC,6k1/q2B1ppp/4p3/8/3P3P/6P1/5PQK/1r6 b - - 0 31,a7d7 g2a8 b1b8 a8b8 d7c8 b8c8,460,105,https://lichess.org/nEuHBKXl/black#62
aFMWV,6k1/pp3ppp/8/8/5B2/KP1r4/P3r3/2R5 b - - 8 32,a7a6 c1c8 d3d8 c8d8 e2e8 d8e8,499,82,https://lichess.org/RNwkfagP/black#64
bdmYh,b1r3k1/p4ppp/4p3/1P2N3/3Q4/8/4qPPP/4R1K1 w - - 0 27,e1e2 c8c1 d4d1 c1d1 e2e1 d1e1,485,86,https://lichess.org/6rZw0WRU#53
gq574,5rk1/6pp/2QRp3/8/4q1P1/1p5P/1PP5/1K6 w - - 0 34,c6e4 f8f1 e4e1 f1e1 d6d1 e1d1,459,91,https://lichess.org/7avoVdFB#67
kQk5s,r5k1/2P2pp1/1p1q4/1b2R3/3Q4/8/5PPP/6K1 w - - 0 33,d4d6 a8a1 d6d1 a1d1 e5e1 d1e1,494,82,https://lichess.org/UVi79Bnm#65
lTG9I,4r3/5pkp/1p3bp1/pNr5/8/5B2/R4PPP/4R1K1 w - - 0 27,e1e8 c5c1 f3d1 c1d1 e8e1 d1e1,460,88,https://lichess.org/AbLxzCU5#53
lXmkr,4r1k1/2p1qpp1/p1Qpr2p/8/8/2b3P1/PPP2P1P/3RR1K1 w - - 0 19,c6c3 e6e1 c3e1 e7e1 d1e1 e8e1,445,98,https://lichess.org/LaFJVYRN#37
nANxA,5rk1/p1Q2ppp/4p3/P1P1P3/2q5/5R2/1r4PP/2R4K w - - 1 23,c1c4 b2b1 c4c1 b1c1 f3f1 c1f1,481,89,https://lichess.org/6FpulzVw#45
nWTpU,7k/pp4pp/2b2r2/3pRp2/5P2/3r3P/P6P/4R2K b - - 3 29,d3h3 e5e8 c6e8 e1e8 f6f8 e8f8,496,88,https://lichess.org/AGAc7gYm/black#58
qEBS2,5r1k/p5pp/3R4/6q1/8/P4Q2/6PP/3R2K1 b - - 0 31,f8f3 d6d8 g5d8 d1d8 f3f8 d8f8,473,86,https://lichess.org/M1z8rUZa/black#62
qmV2q,2r3k1/2r2pp1/4p2p/1p1p4/pP1Pn3/P1PK1N1P/2R2PP1/2R5 b - - 10 33,c7c3 c2c3 c8c3 c1c3 e4c3 d3c3,454,88,https://lichess.org/XsJeo9Yq/black#66
