00O9a,1k3r2/q5r1/2Qp3p/N2Bp3/4P1p1/P7/1PP2PPP/R5K1 w - - 12 35,a5c4 a7f2 g1h1 f2f1 a1f1 f8f1,833,88,https://lichess.org/t6wbqTty#69
00puq,4r3/1k3pbp/1pp1q3/p3Npp1/P2P2n1/2PQ4/1P3PPP/2N1R1K1 w - - 6 33,e5f3 e6e1 f3e1 e8e1 d3f1 e1f1,871,84,https://lichess.org/mp138SCG#65
01382,r6k/5qp1/2pb3p/1p2P3/3P4/2P3Q1/1P4PP/5R1K w - - 0 29,f1f7 a8a1 g3e1 a1e1 f7f1 e1f1,855,109,https://lichess.org/0nSum8Dd#57
01DJq,4R3/6p1/5bk1/N6p/8/1P6/6PP/3r1K2 w - - 1 45,e8e1 d1e1 f1e1 f6c3 e1d1 c3a5,900,88,https://lichess.org/OAuPLlZG#89
01S2P,r4rk1/5qpp/p1p1p3/3pB3/6Q1/8/PPP2PPP/R3R1K1 w - - 4 18,e1e3 f7f2 g1h1 f2f1 a1f1 f8f1,897,77,https://lichess.org/PpvbkBkX#35
02tV1,5r2/p2pbN1Q/1k3qp1/1p4p1/4R3/2PP4/PP3PPP/R5K1 w - - 2 22,f7e5 f6f2 g1h1 f2f1 a1f1 f8f1,886,96,https://lichess.org/YgTi37hi#43
02w9I,3r2k1/5ppp/8/1q6/3Rp3/4P2P/Q4PP1/6K1 b - - 0 27,d8d4 a2a8 d4d8 a8d8 b5e8 d8e8,869,75,https://lichess.org/6Ip58XqX/black#54
02y4j,q1rr2k1/1b2bpp1/p2ppn1p/8/2P1P3/P2B1N2/1B2QPPP/3RR1K1 b - - 0 22,f6e4 d3e4 b7e4 e2e4 a8e4 e1e4,823,90,https://lichess.org/ksubAP2z/black#44
03ekK,rnb1r1k1/pp1p1ppp/1qp5/2b3B1/8/3B1N2/PPP2PPP/R2QR1K1 b - - 3 12,e8e1 d1e1 c5f2 e1f2 b6f2 g1f2,831,108,https://lichess.org/aqDU9XiY/black#24
054QS,5r2/5r2/p6k/1pNp2pp/1P1q4/P2B4/3Q2PP/2R4K w - - 2 38,h2h3 f7f1 c1f1 f8f1 d3f1 d4d2,817,80,https://lichess.org/Url9SqlE#75
05cVR,2r1r3/pp2P1k1/2q5/3N1Q1p/5P2/8/PPP3PP/1K2R3 w - - 3 27,f5h5 c6c2 b1a1 c2c1 e1c1 c8c1,872,75,https://lichess.org/3AbpytSH#53
05mNv,2r3k1/5p2/2p2Pp1/2p3q1/6P1/1rP4Q/4R3/4R1K1 b - - 0 39,g5f6 e2e8 c8e8 e1e8 g8g7 h3h8,858,83,https://lichess.org/niQoWscI/black#78
05odN,8/pp6/8/1PP3k1/7p/3K4/P7/8 b - - 0 40,g5g4 c5c6 b7c6 b5c6 h4h3 c6c7,878,76,https://lichess.org/OpKGc4Tj/black#80
06SzP,8/p3B2p/k7/8/1R2n3/PNP5/KP5r/8 w - - 2 39,e7d8 e4c3 a2a1 h2h1 b3c1 h1c1,873,79,https://lichess.org/OWZuRZUv#77
06Xb1,4krR1/1p2p2P/2p2b2/p2p4/3Pnp2/3K4/PP6/6R1 w - - 5 45,g8f8 e8f8 g1g8 f8f7 h7h8q f6h8,817,95,https://lichess.org/Su6q4gvw#89
07CQC,6k1/2Rrrp1p/1p5P/p2p1KP1/P1R5/8/8/8 b - - 0 41,d5c4 c7c8 d7d8 c8d8 e7e8 d8e8,895,81,https://lichess.org/ZObSOLIE/black#82
07F8Y,rnb1kb1r/pp3ppp/2p5/8/2P2q2/4PN2/PP1B2PP/R2Q1BKR w kq - 0 13,e3f4 f8c5 f3d4 c5d4 d2e3 d4e3,881,89,https://lichess.org/toDHbL4c#25
07aEe,r3r1k1/p3Rp1p/1p4p1/2nR4/4P1PP/2P5/P3NK2/8 w - - 7 29,d5e5 c5d3 f2e3 d3e5 e7e8 a8e8,845,86,https://lichess.org/WG3iotA0#57
07oZk,8/4k1K1/5p2/1p5P/1n4P1/8/8/8 b - - 0 44,b4d5 h5h6 d5e3 h6h7 e3g4 h7h8q,837,92,https://lichess.org/QzPaDI5H/black#88
07wWc,1r5k/p5pp/5p2/2N5/P2P1b2/B6P/4qPP1/4R2K w - - 0 32,e1e2 b8b1 a3c1 b1c1 e2e1 c1e1,818,107,https://lichess.org/ljUoinow#63
08ls2,8/8/5k2/5P1r/6K1/8/2R5/8 b - - 4 54,h5f5 c2c6 f6e5 c6c5 e5d4 c5f5,893,91,https://lichess.org/R77ixxtE/black#108
0941P,8/6p1/6K1/p2pk2P/2pN4/P7/8/8 w - - 0 47,g6g7 e5d4 h5h6 c4c3 h6h7 c3c2,846,82,https://lichess.org/7YozWFAL#93
09Ndi,8/4k3/pq2pr2/1p1pn1Q1/8/P7/1P3PPP/2R3K1 w - - 0 33,g5e5 b6f2 g1h1 f2f1 c1f1 f6f1,829,78,https://lichess.org/owXgbYEx#65
09Ufn,4r2k/p6p/3q2p1/2b5/2Q5/PB6/1P4PP/5R1K w - - 1 31,f1d1 d6d1 b3d1 e8e1 c4f1 e1f1,848,84,https://lichess.org/zz1SncRG#61
0AXKk,8/1p3pk1/1p2b1p1/4P2p/1P2NP1P/7r/4B3/2R2K2 w - - 1 38,e4g5 h3h1 f1f2 h1c1 g5e6 f7e6,895,76,https://lichess.org/jFksVhVd#75
0BFNX,5k2/4bp2/8/5P2/4Q1K1/1r6/8/8 w - - 9 54,g4h5 b3h3 h5g4 h3h4 g4f3 h4e4,883,79,https://lichess.org/cV6g9Grf#107
0CgVt,r5k1/P4pp1/1R2p1p1/6P1/2p2r2/2P5/2R5/6K1 b - - 0 41,a8a7 b6b8 g8h7 c2h2 f4h4 h2h4,819,79,https://lichess.org/nUZ4iWlC/black#82
0D4R3,r1b2r1k/pp5p/6pB/5qN1/1nQ5/8/PPP2PPP/R5K1 w - - 0 20,c4b4 f5f2 g1h1 f2f1 a1f1 f8f1,825,77,https://lichess.org/1tQBnhfU#39
0DMnW,2r3k1/p4ppp/1p2p3/3bQ3/q7/6P1/5P1P/2R2BK1 b - - 0 27,c8c1 e5b8 c1c8 b8c8 a4e8 c8e8,889,84,https://lichess.org/vbbjc6xp/black#54
0DNIo,6k1/ppp2pqp/2p3p1/8/5Q2/5P2/PPPr2rP/3R1R1K b - - 1 24,d2d1 f1d1 g2e2 d1d8 g7f8 d8f8,894,86,https://lichess.org/AlQjWwxE/black#48
0DT2p,4r3/pp2r1kp/6pq/2pBN3/2PP4/1P4P1/P1Q2P2/R5K1 w - - 1 33,e5g4 e7e1 a1e1 e8e1 g1g2 h6h1,806,83,https://lichess.org/e9o3DJJI#65
0Dcrb,6k1/ppR2p1p/3rb3/4p1PQ/1P1p4/P2q2P1/5K1P/8 b - - 2 34,d6d7 c7c8 d7d8 c8d8 g8g7 h5h6,891,84,https://lichess.org/TOO9r9gW/black#68
0Dm9M,2rr2k1/pp3pp1/2N1p2p/q3P3/2P5/3Q4/P4PPP/2R1R1K1 b - - 0 22,a5e1 c1e1 d8d3 c6e7 g8f8 e7c8,833,86,https://lichess.org/B7iRXYoR/black#44
0Dn0o,4r3/3R4/1p3pNk/p1p2P1p/6pP/8/PP6/1K6 w - - 0 38,d7e7 e8e7 g6e7 g4g3 e7d5 g3g2,889,80,https://lichess.org/tfw0GWOr#75
0E24G,r5k1/ppq2r1p/3p1ppB/3Q1b2/2B5/5N2/PPP2PPP/2K1R3 w - - 5 22,e1e7 c7e7 d5f7 e7f7 c4f7 g8f7,897,84,https://lichess.org/yVSbEJ00#43
0E7WM,1k2r3/2p1r1p1/p2b3p/1p2n1p1/1P6/1BP1B2P/P4PP1/3RR1K1 w - - 2 29,e3d4 e5f3 g2f3 e7e1 d1e1 e8e1,824,76,https://lichess.org/kdWR7ggp#57
0Ec3E,8/8/6pk/PQ4qp/2KP4/8/8/8 b - - 8 59,g5b5 c4b5 h5h4 a5a6 h4h3 a6a7,854,77,https://lichess.org/HEFfV0Ji/black#118
0GJbT,6k1/p4p2/2b1p3/2q4p/1p1R1PnN/P5P1/1BP5/4R1K1 b - - 2 25,c5c2 d4d8 c6e8 d8e8 g8h7 e8h8,890,91,https://lichess.org/0GotYwwZ/black#50
0GJps,4r2k/p4Rp1/6qp/3Qp3/3p4/1Pp5/P1r3PP/5R1K b - - 1 29,c2a2 f7f8 e8f8 f1f8 h8h7 d5g8,874,75,https://lichess.org/2FbGTGIv/black#58
0H2Ea,8/2k1b3/4P1K1/4P3/8/8/8/8 b - - 4 66,c7c6 g6f7 e7a3 e6e7 a3e7 f7e7,838,92,https://lichess.org/VGtGmyY8/black#132
0HUkq,r1b2rk1/pp4pp/1q6/4R1Q1/8/1Np5/PPP2PPP/R5K1 w - - 0 18,b2c3 b6f2 g1h1 f2f1 a1f1 f8f1,868,91,https://lichess.org/eTK8We54#35
0HZls,5rk1/p4rpp/1pQ1p3/3pB3/3Pp3/2P1P3/P3RqPP/5K2 w - - 0 23,e2f2 f7f2 f1e1 f2f1 e1e2 f8f2,900,81,https://lichess.org/NgCMOTgz#45
0HbWd,8/8/2p5/2b5/2P1R3/3P4/1K3k2/8 w - - 1 47,e4e5 c5d4 b2c2 d4e5 d3d4 e5d4,842,86,https://lichess.org/G57yao1F#93
0HkxM,8/8/4p3/R1r2p2/K3k1p1/1P2P1P1/P6P/8 b - - 0 47,c5a5 a4a5 e4e3 b3b4 e6e5 b4b5,874,81,https://lichess.org/fyR51Pxu/black#94
0HsgB,1r4k1/Q1p2ppp/p3rn2/8/1q1P4/4P3/P2N1PPP/2R1K2R w K - 5 20,c1b1 b4b1 d2b1 b8b1 e1e2 b1h1,887,85,https://lichess.org/8rNsWXvh#39
0ICKr,3r3k/1b1q1pb1/p5p1/1p1Np2p/2p1P2P/P1P2P2/1PBQ1KP1/3R4 b - - 0 29,h8h7 d5f6 g7f6 d2d7 d8d7 d1d7,818,76,https://lichess.org/o8W9FFKW/black#58
0IOuo,5rk1/ppp3p1/7b/3N3B/7P/3P4/PPPpK2P/8 b - - 2 34,f8f5 d5e7 g8h8 e7f5 d2d1b e2d1,851,87,https://lichess.org/y0SyFncK/black#68
0JVUI,6k1/3q1pp1/1Rp4p/8/3Bp1P1/4P2P/5K2/8 b - - 2 36,g7g5 b6b8 g8h7 b8h8 h7g6 h8g8,810,76,https://lichess.org/U4S0XjNE/black#72
0Jpus,5r1k/1p3qpp/p2bQ3/3Pp3/8/8/PP3PPP/2BR2K1 w - - 3 22,e6d6 f7f2 g1h1 f2f1 d1f1 f8f1,822,96,https://lichess.org/EDHNk40R#43
0KWsu,r1r5/5pkp/b4np1/8/B3P3/2B5/P4KPP/R6R w - - 6 24,a1c1 c8c3 c1c3 f6e4 f2e3 e4c3,828,99,https://lichess.org/0BhSR4ba#47
0Lubm,2r1k1r1/bp1q1p1N/p3p1p1/3pP1Q1/b5np/8/PP4PP/R1B2R1K b - - 1 21,g4f2 f1f2 a7f2 h7f6 e8d8 f6d7,870,78,https://lichess.org/tOlCfYGE/black#42
0MmCJ,5rk1/5p1p/p2R2p1/1p6/1P6/P1r2Q1P/1b3PP1/6K1 w - - 2 25,f3b7 c3c1 g1h2 b2e5 g2g3 e5d6,882,76,https://lichess.org/bfsGGb9m#49
0Mp73,r7/3PK3/Pk6/1B6/8/8/8/8 b - - 12 67,a8h8 d7d8q h8d8 e7d8 b6b5 a6a7,899,96,https://lichess.org/M1rgqcW3/black#134
0MwB6,8/8/1K6/1P6/6kp/8/8/8 w - - 0 49,b6c6 h4h3 c6c7 h3h2 b5b6 h2h1q,883,174,https://lichess.org/ypuGlZyV#97
0MyEf,3Rr1k1/5ppp/p7/1p6/1P2b3/P6q/Q3BR2/4K3 b - - 1 31,e8d8 a2f7 g8h8 f7f8 d8f8 f2f8,871,77,https://lichess.org/mtRbKEQt/black#62
0N7SP,2r3k1/2b2pp1/4pq1p/3p4/1P6/2P4P/2Q2PP1/1BR3K1 b - - 7 28,c7e5 c2h7 g8f8 h7h8 f8e7 h8c8,887,85,https://lichess.org/v03UZsUC/black#56
0NE3g,4r1k1/pp3ppp/8/1QP5/2pB4/P1P2br1/7P/5R1K w - - 0 27,f1f3 e8e1 f3f1 e1f1 d4g1 f1g1,893,75,https://lichess.org/mn2huZRV#53
0NHe8,8/5p2/3k1P2/6P1/1p6/1K6/8/8 w - - 1 55,g5g6 f7g6 f6f7 d6e7 f7f8r e7f8,810,76,https://lichess.org/6NWyi8MT#109
0ODcg,4Qrk1/pp6/2p2qp1/4p3/2P1P3/7R/P1P2PPP/3R2K1 w - - 7 30,e8d7 f6f2 g1h1 f2f1 d1f1 f8f1,873,92,https://lichess.org/9KRHRu3a#59
0PJZ5,3rr1k1/p1p2pbp/2p2p2/8/4N3/4R3/PPP2PPP/4R1K1 b - - 6 16,f6f5 e4f6 g7f6 e3e8 d8e8 e1e8,899,82,https://lichess.org/FhRTSqe3/black#32
0PMNm,3r4/4k1pp/2p1P3/1p3PP1/n4K1P/2P1R3/8/8 b - - 2 36,d8d5 f5f6 g7f6 g5f6 e7f6 e6e7,893,92,https://lichess.org/K2V2vLhM/black#72
0PfNj,2b3k1/8/1p2n1pQ/p2pP3/3P4/6PB/Pq3r2/4R1K1 w - - 0 29,h3e6 c8e6 h6g6 g8f8 e1f1 f2f1,817,77,https://lichess.org/CQbWH4z8#57
0QcDq,r1br2k1/ppp2ppp/8/2qN4/1bn5/2P3B1/PP4PP/R2QR2K b - - 2 16,d8d5 e1e8 c5f8 e8f8 b4f8 d1d5,813,75,https://lichess.org/BiIAoJpO/black#32
0Qu9W,8/7p/8/p6P/PrR2kP1/1P1p1P2/5K2/8 b - - 19 55,b4c4 b3c4 d3d2 f2e2 d2d1q e2d1,801,77,https://lichess.org/XuPWSZqq/black#110
0R0rA,4k3/Rp3p2/2p1bB1p/2P1P3/1P1n4/5BK1/7P/4r3 b - - 10 38,e1e3 a7a8 e8d7 a8d8 d7c7 d8d4,829,87,https://lichess.org/MBWbqRs6/black#76
0R8SI,2rk1r2/6bQ/p3pqBB/npp1N3/3P4/P7/1P3PPP/R5K1 w - - 7 28,h7g7 f6f2 g1h1 f2f1 a1f1 f8f1,878,88,https://lichess.org/KzhoWurf#55
0RAfV,5rk1/5ppp/1q2pn2/p1rp4/Bp3N2/5P2/PP1Q2PP/2R1R2K w - - 0 23,d2d4 c5c1 d4b6 c1e1 b6g1 e1g1,871,79,https://lichess.org/taU13tRb#45
