00irz,8/2r1ppk1/8/3P2pP/1Kp1Pp2/1bR5/4BP2/8 w - - 8 40,e2c4 c7c4 c3c4 b3c4 b4c4 f7f6,2687,80,https://lichess.org/H4eT5TpG#79
013vX,2k5/2p2p2/P1N3p1/1PK2n2/7p/8/2P2P2/8 b - - 0 41,h4h3 b5b6 f5d6 c6e7 c8d7 a6a7,2624,95,https://lichess.org/E3V8WTvF/black#82
01Mp3,8/8/2p4p/3kp1p1/2qp4/6P1/Q4PKP/2N5 w - - 14 47,f2f3 c4a2 c1a2 d5c4 g2f2 c4b3,2605,86,https://lichess.org/XVqNulDH#93
01WWa,6k1/pp3pbp/1qp3p1/8/8/2PB1Q1P/Pr3PP1/4R1K1 b - - 1 22,g7c3 d3c4 b2f2 e1e8 g8g7 f3c3,2656,78,https://lichess.org/NdZyCXD9/black#44
01bgV,r3r1k1/3b1p2/pp1q2pp/8/4B3/1NP4P/PP4PK/RQB5 w - - 1 32,g2g3 d6e7 c1h6 e7e4 b1e4 e8e4,2643,83,https://lichess.org/5sut7pQP#63
01jUM,1Q6/5p1k/1P6/3q4/6p1/8/6PK/8 b - - 0 42,f7f5 b8c7 h7g6 b6b7 f5f4 c7c2,2670,95,https://lichess.org/ewrEnd7Y/black#84
02PiE,6k1/6p1/6Qp/p3r3/2P2R2/1P2p2P/P5PK/q7 w - - 2 48,f4g4 e5e7 g4e4 a1b1 g6e8 e7e8,2650,82,https://lichess.org/XsCAIuHa#95
02TxK,8/6pk/6qp/1p6/2p1PQP1/5P2/5K1P/8 w - - 0 43,f4b8 g6c6 e4e5 c4c3 b8d6 c6c8,2695,116,https://lichess.org/evK83R4k#85
02kqG,8/7p/3Q1pnk/8/3N4/4p1P1/5PKP/3q4 b - - 3 42,h6h5 d6d7 g6h4 g3h4 d1g4 d7g4,2642,89,https://lichess.org/LhEuTBDq/black#84
039eL,r4rk1/p4p1p/1p4pB/4p3/3nP2Q/P7/2q2PPP/R4RK1 b - - 1 21,f8e8 a1c1 c2e2 h4f6 d4e6 c1c7,2617,105,https://lichess.org/srtKoL4w/black#42
03Tlu,7r/2pkqppp/Qpbb4/3r4/1P6/P3PN2/5PPP/R1B2RK1 w - - 1 21,f3d4 d5d4 e3d4 e7e4 f2f3 e4d4,2668,97,https://lichess.org/asbu4T5K#41
03iaI,r4rk1/pp3pbp/4b1p1/2Q1P3/3N1P2/3qn1PP/PP4BK/R1B2R2 w - - 0 19,d4e6 e3f1 g2f1 d3f1 e6f8 f1e2,2616,133,https://lichess.org/XKIcGv1f#37
03vhG,8/p5k1/1p4p1/2pp4/5KP1/1PP2P1P/8/8 w - - 0 43,h3h4 a7a5 f4e5 c5c4 b3c4 a5a4,2645,85,https://lichess.org/VDKthIUN#85
03wAt,2b2rk1/1pp3b1/n2p2B1/3P2N1/qPP2p2/7P/5PP1/1Q3RK1 b - - 0 24,a4b4 g6h7 g8h8 b1g6 b4c3 g6h5,2698,122,https://lichess.org/ygIinoK7/black#48
04kzM,3r2k1/6pp/pq2pp2/8/Pp3n2/2N2P2/1QP4P/R4KR1 w - - 0 35,c3e4 b6e3 c2c4 b4c3 b2f2 e3d3,2666,89,https://lichess.org/ZFz03vea#69
06Kp7,r2b1Q2/q7/p2kP2N/1p1P4/2p2p2/6R1/6P1/7K b - - 0 44,d8e7 f8f4 d6d5 f4f3 d5d6 h6f5,2613,105,https://lichess.org/3vvdCSuG/black#88
06L0V,rnbqkbn1/7r/1P6/3P4/P7/8/6PP/RNBQKBNR w KQq - 7 21,g2g4 f8b4 e1f2 d8h4 f2g2 c8g4,2615,111,https://lichess.org/T3JAv20U#41
06ZTV,4r1k1/1p2rppp/PPp3b1/3p2Q1/2q5/5B1P/1R3PP1/R5K1 b - - 0 27,e7e1 a1e1 e8e1 g1h2 h7h6 g5d2,2608,89,https://lichess.org/b5Uj4VPB/black#54
06njT,5r2/2R2ppk/4p2p/4P3/1p1P1Q2/6P1/P4PKP/1q6 w - - 6 37,c7f7 f8f7 f4f7 b1a2 g2h3 a2c4,2664,98,https://lichess.org/mU4BZMKO#73
