0z1ed,r4n2/pB1N1k1p/1p2p1p1/5p2/2P4q/8/PP4Pb/R2Q1R1K w - - 1 24,g2g3 h2g3 h1g2 a8d8 f1h1 h4g5,2828,88,https://lichess.org/ASeCvfuV#47
1UyCo,4r2k/rp4p1/p1P4p/2P5/P4b2/1QNq1PpP/1P4P1/R4NK1 w - - 0 25,c6b7 d3d4 g1h1 d4c5 b3f7 c5f8,2822,106,https://lichess.org/iJKGHcQf#49
1vfRE,8/5p2/R4K1k/3Pp1p1/4P3/5P2/p7/r7 b - - 0 48,g5g4 f3g4 a1f1 f6e7 h6g5 a6a2,2813,102,https://lichess.org/rSSAe79l/black#96
28NHA,2r1k2r/4pp1p/p4npQ/q3n3/1p1N4/1P1B4/P1P1N1bP/1K1RR3 b k - 1 19,f6d5 e1g1 e5g4 h6g7 h8f8 g1g2,2815,90,https://lichess.org/ffDqnFIY/black#38
2Hxyb,r3r1k1/1p1n4/p4q1p/5Np1/P2PpQ2/2P3R1/1P3PK1/4R3 b - - 0 34,e8f8 f5h6 f6h6 g3g5 g8h8 f4c1,2871,107,https://lichess.org/F2wVIZRY/black#68
2ILQL,8/5pp1/5k1p/5P2/4K3/7P/6P1/8 w - - 1 44,g2g4 f6g5 e4e5 g7g6 f5f6 h6h5,2826,91,https://lichess.org/EMhkiutd#87
2RNen,2r2r2/6kP/4pp2/2bpB3/5P2/6Q1/PP1qN3/1K5R b - - 1 29,g7f7 f4f5 e6f5 e2f4 c5d4 h7h8n,2812,114,https://lichess.org/iQ1fWjMm/black#58
3QvUW,5b2/8/7p/2kPp1pP/4PpP1/5K2/4N3/8 w - - 6 55,e2c1 c5c4 f3e2 f8c5 c1d3 f4f3,2846,93,https://lichess.org/c8E05lSn#109
47fIU,r2qkbr1/2pn1p2/p1Qp3p/3Pp2b/1P2Pp2/3B3P/P2N1PP1/R1B2RK1 w q - 1 20,d3a6 a8a6 c6a6 d8g5 g2g3 g5h4,2834,103,https://lichess.org/YqXylEcO#39
4UI0i,8/2k3p1/1p2P2p/1PpK1p2/5P2/4P2P/8/8 b - - 0 36,c5c4 d5c4 c7d6 e3e4 f5e4 f4f5,2879,94,https://lichess.org/wlAmONOo/black#72
5A9kD,2r3k1/pp1q1r1p/8/5pp1/3P1n2/1P2Q1NP/P4PP1/R3R1K1 w - - 0 25,g3e2 f7e7 e3e7 f4h3 g2h3 d7e7,2823,99,https://lichess.org/hjGZQIJh#49
5EilU,1r3rk1/p4pp1/2pR3N/2q5/2P1pQ2/1P6/P5PP/5K2 b - - 0 28,g8h8 h6f5 f8e8 d6h6 h8g8 h6h5,2870,106,https://lichess.org/xHZp12hO/black#56
5H4GJ,2r3k1/1b4p1/1p4p1/pP1pPpP1/1b1P4/1q2BQ2/5PK1/4N2R b - - 1 40,b4e1 f3h3 b3d3 h3h7 g8f8 h1h4,2883,112,https://lichess.org/ghLX3iLk/black#80
5eCfi,1rbr2k1/5pb1/p1pBp1p1/q7/4P3/2P2P2/PP1Q3P/2KR1B1R w - - 1 18,d2c2 d8d6 d1d6 a5a2 d6d8 g8h7,2824,101,https://lichess.org/fW6K6ZQZ#35
63kQF,3n2r1/R3b2k/4pppB/3p4/3P2QP/4P3/1q1r1PP1/5RK1 b - - 0 37,h7h6 a7e7 b2b8 f1c1 g8g7 c1c7,2805,119,https://lichess.org/ENUfeE4I/black#74
66HQR,2r2k2/6p1/2P2p2/1P6/2Qppq2/8/P3KP2/5R2 w - - 0 45,b5b6 f4f3 e2e1 d4d3 c4c5 f8f7,2890,109,https://lichess.org/Zl0QnJnY#89
6vsR0,rnbqk2r/ppp2ppp/5n2/6B1/1b1P4/2N2N2/PP4PP/R2QKB1R b KQkq - 0 8,c8g4 d1a4 b8c6 e1c1 b4c3 d4d5,2893,116,https://lichess.org/Hsd4lYj3/black#16
76K8W,2bqrk2/1p1n4/1b2p1Q1/3pP2p/1P1N1P1P/r1P1B3/6P1/1R3R1K w - - 1 24,d4e6 e8e6 g6h5 d8e8 h5h8 f8e7,2818,113,https://lichess.org/jRkpFAMJ#47
8t9t9,r2Bn1k1/p2b4/3p4/2pPp2p/2P1Pnq1/P1N1Rp1p/5P2/1RQ2B1K w - - 3 31,c1d1 h3h2 h1h2 f4h3 c3e2 a8d8,2829,111,https://lichess.org/cQCdQYAs#61
9HxCh,3rr1k1/4bpN1/p2p3p/qppR4/4PB2/8/1P3PPP/2Q2K2 b - - 0 24,g8g7 f4h6 g7g6 c1d1 a5a1 d1a1,2849,105,https://lichess.org/xzWSfj1P/black#48
9ROYj,r3kb1r/pp3pp1/2np1n1p/4p3/Q5b1/2q1PN2/P2NBBPP/1R3RK1 b kq - 3 14,a8b8 d2c4 b7b5 b1b5 b8b5 f2e1,2843,99,https://lichess.org/TM6h6qsE/black#28
