8cdlM,r2qk2r/2p2ppp/p1p1p3/1Nb1P3/Q1P1n3/8/PP3PPP/3RKB1R b Kkq - 1 14,d8g5 b5d6 e8e7 d6e4 g5e5 f1d3,3100,127,https://lichess.org/NJRE0VXU/black#28
DjnSt,8/1Rp5/3p3p/3P2p1/2P1PpP1/4k3/4r2P/1B4K1 w - - 19 42,e4e5 e2e1 g1g2 f4f3 g2h3 d6e5,3037,128,https://lichess.org/lvYYXCqX#83
XiAd4,r1b2rk1/2q1pp2/p1p2n1p/1p4p1/2P4P/2N1Q1P1/PP2B1P1/3R1RK1 b - - 0 19,c8g4 h4g5 g4e2 g5f6 e2d1 c3e4,3012,116,https://lichess.org/vTEBCMpB/black#38
cCIIt,r5k1/1b1nq2p/5np1/2p5/1pP1PQ2/1P3N2/5P1P/1B1R1NK1 b - - 0 30,f6e4 f4c7 e4f2 c7b7 f2d1 b7a8,3025,125,https://lichess.org/KWKAFsEo/black#60
